time_mandante;time_visitante;gols_mandante;gols_visitante;gols_1_tempo_mandante;gols_1_tempo_visitante;escanteios_mandante;escanteios_visitante;faltas_mandante;faltas_visitante;chutes_bola_parada_mandante;chutes_bola_parada_visitante;defesas_mandante;defesas_visitante;impedimentos_mandante;impedimentos_visitante;chutes_mandante;chutes_visitante;chutes_fora_mandante;chutes_fora_visitante;resultado;NaN;NaN;NaN;NaN;NaN
Atletico Goianiense;Cruzeiro;0;1;0;0;5;5;13;10;9;12;3;5;0;2;17;12;6;3;3;NaN;NaN;NaN;NaN;NaN
Atletico Goianiense;Juventude;2;1;0;0;4;5;17;10;10;16;2;5;0;2;18;13;7;5;1;NaN;NaN;NaN;NaN;NaN
Atletico Mineiro;Cruzeiro;3;0;3;0;4;4;15;17;16;15;2;1;1;2;9;10;3;1;1;NaN;NaN;NaN;NaN;NaN
Atletico Mineiro;Palmeiras;0;4;0;1;3;6;16;16;16;15;5;3;1;2;11;22;5;8;3;NaN;NaN;NaN;NaN;NaN
Atletico Mineiro;Atletico Goianiense;1;1;1;1;5;8;10;11;9;10;4;5;0;2;15;12;4;4;3;NaN;NaN;NaN;NaN;NaN
Atletico Mineiro;Flamengo;2;4;0;2;4;4;12;11;10;12;4;2;1;2;11;14;3;3;3;NaN;NaN;NaN;NaN;NaN
Internacional;Bahia;2;1;0;0;6;3;20;13;13;19;3;6;3;2;17;9;7;3;1;NaN;NaN;NaN;NaN;NaN
Internacional;Fortaleza;2;1;1;1;8;3;19;9;6;18;0;6;4;2;16;12;3;8;1;NaN;NaN;NaN;NaN;NaN
Internacional;Athletico Paranaense;2;2;1;1;9;0;18;13;13;17;3;1;0;2;23;12;8;4;3;NaN;NaN;NaN;NaN;NaN
Internacional;Cuiaba;3;0;2;0;2;3;8;10;9;7;0;4;3;2;15;2;6;2;1;NaN;NaN;NaN;NaN;NaN
RB Bragantino;Atletico Mineiro;1;2;1;2;8;5;17;18;17;17;2;4;1;2;15;10;7;2;3;NaN;NaN;NaN;NaN;NaN
